a-bac,backwards
clanlych,purely
clappen,clapper
clapping,chatter
clapsen,clasp
claret,wine
clarifien,glorify
clarioun,clarion
clarre,wine
claspen,clasp
clauster,cloister
claver,clover
claw,hoof
clawen,stroke
cleche,hook
clechen,seize
cled,clothed
clee,hoof
clef,split
clei,clay
clemen,plaster
clenchen,clench
clene,clean
clengen,cling
clenlich,cleanly
clennes,purity
clensien,cleanse
clensinge,cleansing
clepen,call
clepyng,calling
clere,bright
clerenesse,brightness
clerete,brightness
clergeon,chorister
clergial,learned
clergie,clerical
clerk,scholar
cler-matin,corn
cleue,bedroom
cleuen,asunder
cleuen,cleave
cleuering,clinging
cleynt,fixed
cliket,fastening
cliketed,fastened
climben,climb
clingen,shrivel
clippen,shear
cliue,cliff
cliuen,cleave
cliuer,sharp
cliuer,claw
clobbed,rough
cloche,claw
clochen,clutch
clocken,hobble
cloister,cloister
cloisterer,cloistermonk
clom,silence
clomben,climbed
clomsen,benumbed
clomstnes,numbness
cloos,close
clos,enclosure
closen,enclose
closter,cloister
closures,enclosures
closyngis,gates
clot,clod
clote,burdock
clote-bur,burr
clote-leef,leaf
cloteren,clot
cloth,cloth
clothen,clothe
cloude,rock
clout,clout
clouten,mend
cloue,split
clowe,scratch
clowe,clove
clow-gilofre,clovegillyflower
clubbe,club
clubbed,rough
clucche,clutch
cluddis,cloud
clum,stillness
clumsen,benumbed
clumst-hede,numbness
clupien,call
cluppen,embrace
cluster-loc,enclosure
cluvis,hoofs
clyffe,cliff
clymbare,climber
clymben,climb
clyngen,wither
cnawen,know
cnawlechen,acknowledge
cnawlechunge,acknowledgment
cnelinng,kneeling
cneowe,knee
cniht,knight
cnotted,knotted
cnouwe,knee
cnowen,know
co-arten,constrain
cocatrice,serpent
cocke,oath
cod,cod
cod,pillow
cof,quick
coffes,cuffs
cofin,basket
cofre,coffer
cofren,coffer
cog,wheel
cognisaunce,knowledge
coife,coif
coint,neat
cointeliche,neatly
cointise,skill
coite,quoit
coiten,quoits
cok,cook
cokedrill,crocodile
cokeney,petted
coker,quiver
coket,seal
coket,stamped
cokewold,cuckold
col-,contempt
cold,cold
colde,grow
cole,cabbage
cole,coal
cole,cool
colen,cool
coler,collar
colere,anger
colerik,passionate
collacioun,conference
collen,embrace
collerie,eyesalve
colloppe,flesh
colour,pretext
col-plontes,cabbages
columbine,columbine
colwie,grimy
colwyd,carbonatus
comaunde,command
comaundement,commandment
comaundour,commander
combe,comb
combren,encumber
combre-world,world
combust,burnt
come,coming
comelyng,stranger
comen,come
comenden,commend
comers,passersby
commoditie,profit
comp,contest
compainoun,companion
companable,sociable
companie,company
comparisoun,comparison
comparisounen,compare
compas,circuit
compassen,contrive
compassyng,contrivance
compeir,appear
comper,comrade
complie,day
compline,compline
composicion,agreement
comsen,commence
comune,common
comune,commons
comunlych,commonly
comyn,cummin
comynalte,community
comyne,commune
comynere,participator
comynte,community
con,know
conabill,suitable
conand,covenant
conandly,befittingly
conceipt,imagination
conceiven,conceive
conduit,guidance
confessen,confess
confessor,confessor
confiture,mixture
confort,comfort
conforten,strengthen
confounden,confusion
confus,confusion
congie,rid
conisantes,badges
conjecten,guess
coniectere,diviner
conjoignen,conjoin
con-ioyninge,conjoining
conne,know
conne,examine
conning,skill
conning,skilful
conningly,skilfully
conrey,provision
conseil,counsel
conseili,advise
constable,constable
constablesse,constables
constance,constancy
constorie,ecclesiastical
contek,strife
conteken,strive
contekour,quarrels
contenance,gesture
contrarie,contrary
contrarien,oppose
contree,country
control,restrictive
control,restrain
controller,superintendent
controven,contrive
conventiculis,assemblies
conveyen,accompany
conyng,rabbit
conyngere,rabbitwarren
coosted,went
coostez,qualities
cop,head
cope,cope
copen,cope
copen,meet
coper,copper
coppe,cup
corage,spirit
corageus,courageous
coral,coral
corasiue,corrosive
coraye,curry
corbel,raven
cordwaner,leather
core,heart
coriour,currier
corn,corn
corny,malt
corone,crown
coronen,crown
corosif,corrosive
corour,runner
cors,curse
cors,body
cors,course
corsaint,saint
corser,horsedealer
corsing,barter
corsye,corrosive
cort,court
corteis,courteous
corteisliche,courteously
cortesye,courtesy
corumpable,corruptible
corumpen,corrupt
corupcions,sores
coruen,carved
cos,kiss
cosan,chosen
cosset,lamb
cosshe,house
cost,shore
cost,nature
costage,expense
costard,apple
costard-jagger,costermonger
costard-monger,apples
coste,cost
costen,cost
costey,coast
costlewe,costly
cosyn,cousin
cosynage,fellowship
cote,cottage
cote,garment
cote-armure,coat
coten,coats
couche,chamber
couchen,lie
coude,could
counforte,comfort
counte,shire
countesse,countess
countrefete,counterfeit
countre-taille,correspondence
countryng,countering
coupable,culpable
coupe,fault
coupe,cup
courben,bend
courche,kerchief
cours,running
courser,steed
courser,horsedealer
court,enclosure
courteislich,courteously
courte-py,cloak
couthe,make
couthe,knew
couthe,kith
coue,den
coveiten,covet
coveitise,greed
coveitous,covetous
couenable,fit
couenaunt,covenant
couent,convent
couerchief,kerchief
coueren,cover
coveren,heal
couert,covert
couerture,bedclothes
couine,deceit
cow,cow
coward,sb
cowardie,cowardice
cowart,covert
cowschet,cushat
coy,quiet
crabbe,crab
crabbed,shrewish
cracchen,scratch
craft,ability
crafti,skilful
crafti-man,artificer
crage,throat
crak,thunderpeal
craken,noise
crammasyn,crimson
crammen,cram
crampe,cramp
crane,crane
crasen,break
cratche,manger
crauen,beg
crawand,crowing
creat,created
creature,creature
creaunce,belief
creauncen,borrow
creaunt,conquered
crechen,scratch
crede,the
credensynge,believing
crefti,crafty
creme,chrism
cremelen,anoint
crempe,draw
crennis,cranes
crepen,creep
creste,crest
creyme,sacred
cribbe,crib
crike,creek
crimosine,crimson
crisme,anointing
crisme-child,baptism
crisme-cloð,tied
crisome,chrisomcloth
crist,sb
cristen,sb
cristenly,in
cristnien,make
critouns,refuse
crochette,crotchet
croft,enclosure
croh,crock
crois,cross
crok,crooked
croken,curl
croket,curl
crokke,crock
crom-bolle,crumbbowl
cromme,crumb
crommen,cram
crone,hag
cronicle,chronicle
cronique,chronicle
croos,waterpots
crop,crop
crope,creep
crope,crupper
croper,hinder
cropiers,horses
cropone,buttock
cros,cross
crosselet,crucible
crouche,cross
crouchen,cross
crouken,croak
crouken,bend
croune,crown
crouning,crowning
crowch,cross
crowd,coo
crowde,stringed
crowde,wheelbarrow
crowden,push
crowdyng,pressure
crowen,crow
crownell,crown
crucchen,crouch
crud,curd
cruddid,curded
crude,forward
cruel,cruel
cruelnesse,cruelty
crueltee,cruelty
crulle,curly
crune,crown
cry,cry
cryen,cry
crymailed,anointed
crystal,crystal
cubit,elbow
cucurbite,vessel
cudde,made
cude,cud
cuen,queen
cuffe,cuff
cukkow,cuckoo
culle,strike
culme,soot
culorum,conclusion
culpon,shred
culter,coulter
culuer,dove
culuer-briddis,pigeons
cumen,come
cumlyng,stranger
cumplie,compline
cumrit,encumbered
cumsen,commence
cun,how
cun,kin
cunde,nature
cunde,natural
cundeliche,naturally
cunes-mon,kinsman
cunin,rabbit
cunnen,know
cunreadnes,kindreds
cupabil,culpable
cuppe,cup
cuppe-mel,cupfuls
cupydez,cubits
curace,sb
curall,coral
curat,curate
curatour,priest
cure,cure
curiour,currier
curious,zealous
curlew,curlew
currour,courier
curry,matchy
curs,curse
cursedly,wickedly
cursednes,malice
cursen,curse
curt,court
curteis,courteous
curteisly,courteously
curteisye,courtesy
cus,kiss
cussen,kiss
cust,moral
custome,custom
custome-house,customhouse
cut,twig
cuth,race
cuth,known
cuðe,knew
cuðen,make
cuðmon,kinsman
cuðreden,familiarity
cuððe,relationship
cut-purs,thief
cwakien,quake
cwalm,pestilence
cwalm-hus,prison
cwalm-stow,execution
cwað,quoth
cwead-schipe,wickedness
cwellen,kill
cweme,pleasing
cwemen,please
cwennkenn,quench
cweðen,speak
cwic,living
cwidden,announce
cwide,bequest
cyll,canopy
cyne-rice,kingdom
cyrce-iærd,churchyard
dade,deed
dæd,dead
dæde,deeds
dæi,day
dære,dear
dæð,death
daft,fit
dafte-like,fittingly
dage,days
dagen,become
dagge,jag
daggen,pierce
dagger,dagger
daghynge,dawning
dagoun,jag
daheð,dawn
dai,day
dai-gang,journey
dai-liht,daylight
dai-rawe,daybreak
dai-red,morn
dai-rime,dawn
dai-sterre,daystar
dale,dale
dalf,dug
daliaunce,talk
dalien,talk
dal-neominde,sb
dalte,dealt
damage,damage
dame,dame
damesele,damsel
dan,respect
dang,beat
dare,dark
darked,hid
darklyng,dark
dasewen,dim
daun,title
daunger,power
daungerous,please
daunten,tame
daw,dew
daw,day
dawen,become
dawing,dawning
dawnen,dawn
dawning,dawning
day,day
dayerie,dairy
dayesie,daisy
daynen,deign
dayntethis,dainties
dayre,dairymaid
deað,doeth
deawes,dews
debat,discord
de-baten,fight
debonaire,gentle
debonerte,gentleness
de-breiden,tear
de-breken,asunder
debrusen,bruise
deburs,disburse
deceit,deceit
deciple,disciple
ded,death
ded,dead
dede,did
dede,deed
dede,died
dede,death
dede-stoure,deathstruggle
dedeyn,disdain
dedeyne,deign
dedly,liable
deduit,pleasure
dee,die
deed,dead
deedli,death
deef,deaf
deel,deal
deelen,divide
deep,deep
deer,animal
deeþ,death
defaute,defect
defenden,forbid
defense,prohibition
defet,defeated
defien,digest
defien,mistrust
defiguren,disfigure
defless,devils
defoulen,tread
de-foulen,foul
defte,gentle
deghe,die
degoutit,spotted
degyse,fashionable
degyset,disguised
deh,dye
dehtren,daughters
dei,day
deih,profits
dei-hwamliche,every
deir,harm
deken,deacon
del,deal
del,grief
dele,dale
delen,deal
delfin,dolphin
delful,doleful
delfulli,dolefully
delices,delights
delit,delight
delitable,delightful
delite,delight
delitingis,delights
deliuer,active
deliueren,free
deliuerly,nimbly
deluen,delve
deluers,diggers
deme,judge
demen,decree
demenen,behave
demere,judge
demeyne,possession
dene,title
dene,din
denie,din
denne,den
dennen,dwell
denounce,command
dent,blow
deofell,devil
deol,grief
deop,deep
deopliche,deeply
deopnesse,deepness
deore,last
deore,dear
deore-wurðe,precious
deorling,darling
deorne,secret
deouele,devil
dep,deep
departen,divide
departere,divider
departyng,division
depaynt,painted
depayntar,painter
depe,depth
depen,dip
deplike,deeply
depnesse,depth
depraue,depreciate
depuren,purify
der,animal
dere,injury
dere,harm
dere,dear
dereliche,dearly
dere-wurðe,precious
derewurðlice,respectfully
dereynen,answer
derf,difficult
derf,hardship
derfliche,cruelly
derk,dark
derken,dark
derkful,dark
derkhed,darkness
derknesse,darkness
derling,darling
derne,secret
dernel,ryegrass
derring-doe,enterprise
dert,dirt
derðe,dearth
derue,bold
deruen,afflict
desarayen,disorder
desauauntage,disadvantage
descenden,down
descensorie,extracting
descriuen,describe
desert,merit
deserven,merit
desi,foolish
despeir,despair
despeiren,despair
desperate,outrageous
despisabil,despicable
despit,contempt
de-spiteful,contempt
despitous,ignominious
despitously,contemptuously
despoilen,despoil
dest,doest
destrer,warhorse
destroyen,destroy
destroyere,destroyer
deð,doeth
deð,death
deð-vuel,deathevil
dette,debt
deue,deaf
deuel,devil
deuin,theology
deuine,soothsayer
deuinen,foretell
deuinourr,theologian
deuise,tale
deuisen,decide
deuisynge,narration
deuoid,destitute
deuoiden,exterminate
devoir,duty
deuouren,devour
dew,dew
dewill,devil
dewite,duty
dewle,grief
dextrer,warhorse
deye,QI'ma
deyen,die
deyen,dye
deyere,dyer
deyl,deal
deynen,please
deynous,proud
deyntee,pleasure
deyntee,dainty
deynteuous,dainty
deys,table
deȝter,daughters
diadlich,mortal
diamant,diamond
dia-penidion,stuff
diaper,cloth
diaper,adorn
diath,death
dicht,prepared
diciples,disciples
dide,caused
diefles,devils
dier,animal
dier-chin,beasts
diere,dear
diere-wurð,precious
diete,diet
dieten,diet
dieð,doeth
dieule,devil
diffacen,deface
dif-faden,fade
diffame,disgrace
diffamen,slander
digne,proud
dignelich,worthily
dignete,dignity
dihten,adorn
dilatacioun,extension
dilitable,delightful
dim,dim
dimliche,softly
dimnes,dimness
dinnen,din
dint,blow
dinten,strike
diopendion,kind
dirige,name
disburse,purse
dischargen,unload
dischevele,disorder
disciple,disciple
disciplesse,womandisciple
discipline,chastisement
disclaundre,slander
disclaundre,fame
disclose,disclose
discomfiten,rout
discomfiture,defeat
disconfort,discomfort
disconforten,discomfort
discoueren,uncover
disdeyn,disdain
disdeyne,disdain
disese,lack
diseseful,troublesome
disesid,troubled
disgysen,disguise
disheriten,disinherit
disjoint,perplexity
dismayen,dismay
disour,storyteller
disparage,equality
disparagen,disparage
disparplen,scattered
dispence,expenditure
dispenden,spend
dispendour,steward
dispers,dispersed
displesance,annoyance
disport,pleasure
disporten,amuse
disputen,dispute
disputeson,disputation
disseueren,separate
disshe,dish
dissheres,female
dissimulen,thing
dissimulinge,dissembling
distaf,distaff
distinguen,distinguish
distrier,destroyer
distraught,distracted
distresse,misery
distreynen,vex
disturben,disturb
disturblen,disturb
disturblyng,disturbance
diten,indict
diuel,devil
diueren,tremble
diuise,describe
diuulgate,divulged
diyngis,dyes
diȝe,die
diȝel,secret
diȝte,ordained
doale,dole
docken,tail
dodden,lop
doddit,horns
dogge,dog
dohter,daughter
dok,tail
doke,duck
dole,grief
dolefulle,doleful
dolfin,dolphin
dolfully,dolefully
doluen,dug
dom,judgment
domage,damage
domb,dumb
dome,doom
domes-day,doomsday
domes-man,judge
domlen,dull
dom-place,judgmenthall
don,do
donet,grammar
dong,beat
donjoun,dungeon
donk,moist
donken,moisten
don-ward,downward
doo,doe
dool,dole
doom,sentence
dorc,dark
dore,door
dore-tre,door
dore-ward,porter
dorren,dare
dortour,dormitory
dosc,dusk
doseyn,dozen
dotard,dotard
dote,fool
dotel,fool
doten,childish
doucte,value
doughtren,daughters
doughty,brave
douhtres,daughters
doumbe,dumb
doun,hill
doun-right,down
doun-ward,downward
doute,fear
doute-lees,doubtless
douten,fear
douȝter,daughter
douene,dove
dowaire,dower
dowen,endow
doweþe,army
dowter,daughter
dowue,dove
doȝter,daughter
dozein,dozen
drad,dreaded
dræm,joyful
draf,drove
draf,husks
dragen,draw
dragge,digestive
drah,suffered
drapen,slew
drast,dregs
drasty,worthless
drawen,draw
dre,suffer
drecchen,vex
drede,dread
dreden,dread
dredful,dreadful
drednes,dread
dreem,joyful
drehen,suffer
dreid,dread
dreihen,draw
drem,dream
dremels,dream
dremen,joyful
drench,drink
drenchen,drown
drenchyng,drowning
dreng,retainer
drepen,slay
drere,grief
dreriment,sadness
drery,dreary
dreryhead,sorrow
dressen,make
dressyngis,directions
dreuen,afflict
drewery,darling
dreye,dry
dreȝ,great
dreȝen,endure
dreȝ-ly,earnestly
dridnes,dread
driht-ful,noble
dring,servant
drink,drink
drinken,drink
drinkere,drinker
drit,dirt
drit-cherl,abuse
driuen,pass
driȝen,suffer
drof,drove
drof-lic,painful
drogges,drugs
droh,drew
dronk,drank
dronkelewe,drink
dronkenesse,drunkenness
drought,drought
drounen,drown
droupen,droop
droupnen,cast
drouen,trouble
drouing,trouble
drouy,turbid
droȝ,drew
drubild,disturbed
drublen,disturb
drubly,turbid
drublynge,disturbance
druerie,affection
druggar-beste,forcibly
druggen,pull
druiȝest,dry
drund,drowned
drunk,draught
drunkelew,drinking
drunken,drinking
drunkennesse,drunkenness
drunknen,drown
drupnin,cast
druuy,trouble
druuynge,trouble
drye,dry
drye,dry
drye,suffer
dryȝ,patient
dryȝly,patiently
dubben,sword
dubbing,adornment
dubonure,gentle
dude,did
duelle,stay
duere,dear
duete,duty
duhen,get
duheðe,dignity
duk,prince
dulce,sweet
dule,grief
dully,dull
dumel,stupid
dun,horse
dunchen,batter
dune,din
dungon,dungeon
dunt,blow
dun-ward,downward
dup,deep
duppen,dip
durance,endurance
dure,dear
dure,door
duren,last
duresse,severity
durlyng,darling
durren,dare
dusi,foolish
dusiliche,foolishly
dusken,grow
dusten,toss
dute,fear
dutten,shut
duyk,prince
duȝen,be
duȝeðe,nobles
duȝti,doughty
dwal,erring
dwale,error
dwellen,wander
dweole,error
dweoluhðe,error
dwergh,dwarf
dwilde,error
dwindle,waste
dwinen,away
dyad,dead
dyed,coloured
dyeuel,devil
dyken,dig
dyker,ditcher
dyn,din
dyngen,beat
dyngis,blows
dyngynge,beating
dys,dice
dys-playere,diceplayer
dyttay,indictment
dyvers,divers
dyuerseli,directions
dyversen,different
dyversitee,divers
dyuynistre,divine
dyȝe,die
eadiȝ,blessed
eadmodien,humble
ealde,old
ealde,age
ealdren,elders
ealre,all
eam,am
earding-stowe,dwellingplace
earm,arm
earme,poor
earming,wretched
earnynge,earning
eatelich,horrible
eað,easy
eaðe,easily
ecclesiaste,preacher
eche,each
eche,eternal
eche,increase
eche,pain
echen,increase
echte,possessions
eclipse,eclipse
ecnesse,eternity
ed-grow,aftermath
ed-len,retribution
edmod,humble
edmodi,humble
edmodnesse,humility
ed-wit,reproach
ed-witen,blame
eek,also
eem,uncle
eest,sb
effecte,effect
effnenn,equal
effray,terror
eft,afterwards
efter,after
eft-sone,soon
eft-sones,soon
egal,equal
egalite,equality
egge,edge
eggement,instigation
eggen,provoke
eggyyng,instigation
egle,eagle
egleche,warlike
egre,fierce
egremoin,agrimony
ehte,property
eighte,eight
eighte,eighth
eightene,eighteen
eightetethe,eighteenth
eihte,property
eire,journey
eiren,eggs
eisful,terrible
eislich,terrible
eisliche,terribly
eiðer,either
ekeu,ake
elde,age
elde,grow
elder,older
elderne,ancestors
eldryn,old
ele,oil
eleccioun,election
ele-lendisch,foreign
elendisch,foreign
elenge,wearisome
elengelich,sadly
elf,elf
elf-lock,matted
elf-queen,fairyqueen
eliche,alike
elixir,elixir
elldernemannes,chief
elleft,eleventh
ellerne,eldertree
elles,else
elles-hware,elsewhere
elles-hwider,elsewhither
elmesse,alms
elmes-ȝeorn,charitable
eluish,foolish
eluish-marked,disfigured
embassade,embassy
embassadour,ambassador
embassadrie,ambassadorship
embatel,battlement
embattail,array
embrave,adorn
em-cristen,fellowchristian
emeraude,emerald
em-forth,according
empaled,enclosed
emperere,emperor
emperice,empress
emperour,emperor
empoisoner,poisoner
empoisoning,poisoning
emportured,pourtrayed
emprise,undertaking
emtien,empty
emty,empty
emyspery,hemisphere
enamelen,enamel
enbibing,absorption
enbrouden,embroider
encens,incense
encense,incense
enchauntement,enchantment
enchesoun,occasion
encombren,encumber
encorporing,incorporation
encorsife,fattened
encrees,increase
encressen,increase
ende,end
ende-dai,death
endeles,endless
enden,end
endenten,indenture
endentur,notch
ender,past
enditen,indict
end-lang,along
enduren,survive
ene,once
enentysch,bring
enerite,inherit
enes,once
eneuch,enough
enfecte,infected
enfermer,monastery
enfermerere,infirmary
enflaumen,inflame
enforce,strive
enforme,teach
engel,angel
englene-lond,land
engleymen,glue
engreynen,dye
engyn,engine
engyned,tortured
enhached,marked
enhastyng,hasting
enhaunsen,raise
enhorten,encourage
enke,ink
enker,special
enkerly,entirely
enleuene,eleven
enluminen,illumine
enluting,clay
ennewen,renew
ennuyed,annoyed
enoynt,anointed
enpoisone,poison
enpoisonen,poison
enquere,inquire
enqueringe,enquiry
ensamplarie,pattern
ensample,example
ensaumplid,exemplified
ensele,seal
enserchen,search
enstore,restore
entailen,carve
entencion,intention
entendement,intelligence
entenden,attention
entente,heed
ententif,attentive
enteren,bury
enterment,interment
entraille,entrails
enumbren,hide
enuenymen,envenom
envenymes,poisons
envined,wine
enviroun,circuit
envirounen,go
envolupen,wrap
enuye,annoyance
eny,any
eode,went
eom,am
eornen,run
eorre,anger
eouwer,your
eppel,apple
erayn,spider
erche-bissop,archbishop
erche-dekene,archdeacon
erd,native
